name|quantity|canDabHand|proficiency|focus|unlock|profession|commission|recipe
Purified Darklake Water|3.0|True|1400|1400|Menzoberranzan Masterwork - Alchemy|Alchemy|1.65|"[[15.0, 'Luminescent Darklake Water'], [5.0, 'Terebinth']]"
Salty Tears Varnish (Menzo)|3.0|True|1400|1400|Menzoberranzan Masterwork - Alchemy|Alchemy|1.65|"[[1.0, 'Luminescent Darklake Water'], [3.0, 'Purified Darklake Water']]"
Mushroom Lumber|4.0|True|1400|1400|Menzoberranzan Masterwork - Armorsmithing|Armorsmithing|1.65|[[12.0, 'Mushroom Log'], [1.0, 'Mushroom Droplet']]
Hardened Mushroom|2.0|True|1400|1400|Menzoberranzan Masterwork - Armorsmithing|Armorsmithing|1.65|"[[4.0, 'Mushroom Lumber'], [1.0, 'Purified Darklake Water'], [1.0, 'Calcified Webbing']]"
Living Fungi|3.0|True|1400|1400|Menzoberranzan Masterwork - Artificing|Artificing|1.65|"[[4.0, 'Mushroom Lumber'], [1.0, 'Luminescent Darklake Water']]"
Marilith Charm|4.0|True|1400|1400|Menzoberranzan Masterwork - Blacksmithing|Blacksmithing|1.65|"[[4.0, ""Fallen God's Ore""], [1.0, 'Abyssal Crystal']]"
Unknown Godsteel|3.0|True|1400|1400|Menzoberranzan Masterwork - Blacksmithing|Blacksmithing|1.65|"[[12.0, 'Fungal Moss'], [1.0, ""Fallen God's Ore""]]"
Lolthbead|4.0|True|1400|1400|Menzoberranzan Masterwork - Jewelcrafting|Jewelcrafting|1.65|"[[12.0, 'Fungal Moss'], [4.0, 'Unknown Godsteel'], [1.0, ""Fallen God's Ore""]]"
Menzoberranzan Bead|2.0|True|1400|1400|Menzoberranzan Masterwork - Jewelcrafting|Jewelcrafting|1.65|"[[4.0, 'Lolthbead'], [3.0, 'Spool of Marilithsilk'], [12.0, ""Fallen God's Ore""]]"
Lacquered Mushroom|2.0|True|1400|1400|Menzoberranzan Masterwork - Leatherworking|Leatherworking|1.65|"[[12.0, 'Marilith Hair'], [1.0, 'Purified Darklake Water'], [1.0, 'Drider Leg'], [6.0, 'Flourescent Fauna']]"
Lacquered Goristro Leather|2.0|True|1400|1400|Menzoberranzan Masterwork - Leatherworking|Leatherworking|1.65|"[[12.0, ""Umber Hulk Mandible""], [1.0, 'Drider Leg'], [2.0, 'Purified Darklake Water'], [8.0, 'Marilith Hair']]"
Underdark Fiber|1.0|True|1400|1400|Menzoberranzan Masterwork - Tailoring|Tailoring|1.65|"[[12.0, 'Flourescent Fauna'], [6.0, 'Luminescent Darklake Water']]"
Fey'd Fabrics|3.0|True|1400|1400|Menzoberranzan Masterwork - Tailoring|Tailoring|1.65|"[[12.0, 'Flourescent Fauna'], [6.0, 'Luminescent Darklake Water']]"
Goristro Hide|2.0|True|1400|1400|Menzoberranzan Masterwork - Tailoring|Tailoring|1.65|[[4.0, 'Underdark Fiber'], [1.0, 'Drider Leg'], [4.0, 'Flourescent Fauna']]
Spool of Marilithsilk|2.0|True|1400|1400|Menzoberranzan Masterwork - Tailoring|Tailoring|1.65|"[[8.0, 'Perfect Marilith Hair'], [3.0, 'Luminescent Darklake Water']]"
Druegarsteel Scrap (Crafted)|3.0|True|1400|1400|Menzoberranzan Masterwork - Artificing|Artificing|1.65|"[[1.0, ""Fallen God's Ore""], [4.0, 'Fungal Moss']]"
Menzoberranzan Faerzress Crystal (Crafted)|2.0|True|1400|1400|Menzoberranzan Masterwork - Jewelcrafting|Jewelcrafting|1.65|[[4.0, 'Lolthbead'], [3.0, 'Spool of Marilithsilk'], [6.0, 'Calcified Webbing']]
